bench_id,workflow,task,sem_tags,query
tonight_hard_line_337,Decision and Structuring,Capital structure / financing proposal,DB7;DB9;EG1;EG2;QV2,"Prepare a capital-structure simplification proposal for Oakframe Furniture. Count the debt-like layers before and after each alternative and recommend the cleanest sale-process structure. Use only the provided documents, cite visible material labels, calculate annual cash burden before and after each alternative, calculate funded-debt/EBITDA where applicable, address payment-in-kind seller note treatment, and identify execution items that require holder consent. Produce the capital-structure simplification proposal under an audit-ready controller review posture: connect each final action to the active evidence and the governing rule, policy, task standard, or active-case trigger; keep active source labels beside the material facts, figures, thresholds, missing-evidence triggers, and decision points where they are used; for any calculation or reconciliation, show the source inputs, formula or comparison, result, and business implication; identify any active breach, exception, waiver need, deficiency, unresolved inconsistency, control gap, or non-compliance indicator rather than treating the workflow as cleared; name any required approver, authority evidence, authorization, or review prerequisite that controls the outcome; write every percentage value, including percent or percentage-point values, with exactly two decimal places. Open the capital-structure simplification proposal with a Markdown bold title on the first non-empty line. Near the end, include the exact handoff label Next action:; if the packet supports no next action, write Next action: none supported by the packet. Structure the capital-structure simplification proposal with at least three level-2 Markdown headings that start with ##. Treat the layout as part of the requested finance work product, but do not omit required evidence, calculations, boundaries, or decisions just to satisfy presentation."
tonight_hard_line_015,Decision and Structuring,Credit memo drafting,DB7;DB9;EG1;EG2;EG3;QV2,"Prepare a seasonal line increase memo for Northern Harvest Produce. Test prior-season peak borrowing, borrowing-base support, and cleanup compliance; calculate the maximum line supported without extra approval; recommend approve temporary increase, approve lower limit, or decline; and include the temporary expiration date requirement. Use only the documents and cite visible material labels. Produce the seasonal line increase memo under an audit-ready operations handoff posture: connect each final action to the active evidence and the governing rule, policy, task standard, or active-case trigger; keep active source labels beside the material facts, figures, thresholds, missing-evidence triggers, and decision points where they are used; for any calculation or reconciliation, show the source inputs, formula or comparison, result, and business implication; separate source-stated facts from reviewer inferences, assumptions, customer statements, or management assertions; name any required approver, authority evidence, authorization, or review prerequisite that controls the outcome; write every percentage value, including percent or percentage-point values, with exactly two decimal places. Open the seasonal line increase memo with a Markdown bold title on the first non-empty line. Near the end, include the exact handoff label Next action:; if the packet supports no next action, write Next action: none supported by the packet. Keep the seasonal line increase memo to between four and nine non-empty paragraphs, counting any table or list as part of the paragraph where it appears. Treat the layout as part of the requested finance work product, but do not omit required evidence, calculations, boundaries, or decisions just to satisfy presentation."
tonight_hard_line_253,Decision and Structuring,Credit memo drafting,DB2;DB7;DB9;EG1;EG2;EG3;FP2;QV2,"Write a collateral shortfall credit memo for Lakeshore Plastics Co. Use a two-column table for current collateral value and required cure amount, calculate collateral coverage and the dollar shortfall to full coverage, decide whether to release, release with substitute collateral, or deny the lien release, and list acceptable cure options. Use only the context and cite visible material labels. Produce the collateral shortfall credit memo under an audit-ready disclosure-review posture: connect each final action to the active evidence and the governing rule, policy, task standard, or active-case trigger; keep active source labels beside the material facts, figures, thresholds, missing-evidence triggers, and decision points where they are used; for any calculation or reconciliation, show the source inputs, formula or comparison, result, and business implication; separate source-stated facts from reviewer inferences, assumptions, customer statements, or management assertions; name any required approver, authority evidence, authorization, or review prerequisite that controls the outcome; write every percentage value, including percent or percentage-point values, with exactly two decimal places. Open the collateral shortfall credit memo with a Markdown bold title on the first non-empty line. Near the end, include the exact handoff label Next action:; if the packet supports no next action, write Next action: none supported by the packet. Use at least four numbered list items in the 1. / 2. / 3. style for checks, blockers, steps, or required actions. Keep the full response between 220 and 520 words. Treat the layout as part of the requested finance work product, but do not omit required evidence, calculations, boundaries, or decisions just to satisfy presentation."
tonight_hard_line_228,Decision and Structuring,DCF valuation / pricing analysis,DB4;DB9;EG2;QV2;QV6;QV7,"Draft a WACC-only sensitivity briefing for BluePeak Solar. Hold terminal growth constant, recalculate implied equity value per share for the 8.25%, 9.25%, and 10.25% WACC cases, rank the cases from most favorable to least favorable for equity holders, state whether the current price sits above or below the base case, cite visible material labels, and avoid calling the briefing a fairness opinion. Produce the WACC sensitivity briefing under an audit-ready reconciliation posture: connect each final action to the active evidence and the governing rule, policy, task standard, or active-case trigger; keep active source labels beside the material facts, figures, thresholds, missing-evidence triggers, and decision points where they are used; for any calculation or reconciliation, show the source inputs, formula or comparison, result, and business implication; for any comparison, ranking, alternative, scenario, or trade-off, state the comparison basis, source inputs, result, and decision implication; for any stress, sensitivity, shock, downside, or scenario test, keep the assumption, horizon, source inputs, formula or comparison, and final result tied together; write every percentage value, including percent or percentage-point values, with exactly two decimal places. Open the WACC sensitivity briefing with a Markdown bold title on the first non-empty line. Near the end, include the exact handoff label Next action:; if the packet supports no next action, write Next action: none supported by the packet. Use at least four numbered list items in the 1. / 2. / 3. style for checks, blockers, steps, or required actions. Keep the full response between 220 and 520 words. Treat the layout as part of the requested finance work product, but do not omit required evidence, calculations, boundaries, or decisions just to satisfy presentation."
tonight_hard_line_260,Decision and Structuring,DCF valuation / pricing analysis,DB2;DB6;DB9;EG2;EG5;QV2,"Classify the Lakeview municipal bond pricing request. Check whether any required current market input is present, list the missing pricing evidence, decide between proceed and hold, cite the procedure and request documents, draft the internal next-step request for evidence, and do not provide an estimated client price if the task is on hold. Produce the missing market quote hold note under an audit-ready reconciliation posture: connect each final action to the active evidence and the governing rule, policy, task standard, or active-case trigger; keep active source labels beside the material facts, figures, thresholds, missing-evidence triggers, and decision points where they are used; for any calculation or reconciliation, show the source inputs, formula or comparison, result, and business implication; preserve exact source figures, dates, thresholds, names, and rule references when they control the decision; use only packet-supported category, status, classification, or risk-level labels; write every percentage value, including percent or percentage-point values, with exactly two decimal places. Open the missing market quote hold note with a Markdown bold title on the first non-empty line. Near the end, include the exact handoff label Next action:; if the packet supports no next action, write Next action: none supported by the packet. Keep the missing market quote hold note to between four and nine non-empty paragraphs, counting any table or list as part of the paragraph where it appears. Treat the layout as part of the requested finance work product, but do not omit required evidence, calculations, boundaries, or decisions just to satisfy presentation."
tonight_hard_line_033,Decision and Structuring,Investment memo,DB4;DB7;DB8;DB9;EG2;EG4;FP3;QV2,"Produce a risk-only investment note for Apex Crypto Infrastructure Fund. Do not make a buy, sell, or approval recommendation; identify at least five decision blockers or risk issues; calculate how a 2.5% alternatives-sleeve allocation relates to the current 18% illiquid alternatives exposure and 20% guideline; cite visible material labels; mark missing evidence; and avoid endorsing the 18% gross IRR target. Produce the risk-only investment note under an audit-ready controller review posture: connect each final action to the active evidence and the governing rule, policy, task standard, or active-case trigger; keep active source labels beside the material facts, figures, thresholds, missing-evidence triggers, and decision points where they are used; for any calculation or reconciliation, show the source inputs, formula or comparison, result, and business implication; name any required approver, authority evidence, authorization, or review prerequisite that controls the outcome; keep hypothetical, projected, target, testimonial, endorsement, ranking, sales-claim, and performance language inside the boundary supported by the packet; write every percentage value, including percent or percentage-point values, with exactly two decimal places. Open the risk-only investment note with a Markdown bold title on the first non-empty line. Near the end, include the exact handoff label Next action:; if the packet supports no next action, write Next action: none supported by the packet. Use at least four numbered list items in the 1. / 2. / 3. style for checks, blockers, steps, or required actions. Keep the full response between 220 and 520 words. Treat the layout as part of the requested finance work product, but do not omit required evidence, calculations, boundaries, or decisions just to satisfy presentation."
tonight_hard_line_107,Decision and Structuring,Investment memo,DB7;DB9;EG2;QV2,"Write an IPS compatibility memo for adding Evergreen Secondary Fund to Harbor Family Trust. Calculate projected illiquid allocation after a 3% commitment; compare it with the 12% IPS maximum; discuss liquidity reserve and leverage-language issues; decide Include, Exclude, or Escalate for IPS Exception; cite all client-specific constraints; and list information still needed before a final investment memo. Produce the IPS compatibility memo under an audit-ready compliance escalation posture: connect each final action to the active evidence and the governing rule, policy, task standard, or active-case trigger; keep active source labels beside the material facts, figures, thresholds, missing-evidence triggers, and decision points where they are used; for any calculation or reconciliation, show the source inputs, formula or comparison, result, and business implication; identify any active breach, exception, waiver need, deficiency, unresolved inconsistency, control gap, or non-compliance indicator rather than treating the workflow as cleared; name any required approver, authority evidence, authorization, or review prerequisite that controls the outcome; write every percentage value, including percent or percentage-point values, with exactly two decimal places. Open the IPS compatibility memo with a Markdown bold title on the first non-empty line. Near the end, include the exact handoff label Next action:; if the packet supports no next action, write Next action: none supported by the packet. Structure the IPS compatibility memo with at least three level-2 Markdown headings that start with ##. Treat the layout as part of the requested finance work product, but do not omit required evidence, calculations, boundaries, or decisions just to satisfy presentation."
tonight_hard_line_215,Decision and Structuring,Investment memo,DB1;DB7;DB9;EG2;QV2,"Write an add-to-position memo for Northstar Payments that decides whether to Add, Hold, or Trim. Include a three-row evidence table covering volume growth, margin change, and acquisition integration; calculate the post-add weight from the 2.8% current weight and 1.2% proposed add; test it against the 5.0% limit; cite the source document for each table row; and flag any committee exception if the limit would be breached. Produce the add-to-position memo under an audit-ready operations handoff posture: connect each final action to the active evidence and the governing rule, policy, task standard, or active-case trigger; keep active source labels beside the material facts, figures, thresholds, missing-evidence triggers, and decision points where they are used; for any calculation or reconciliation, show the source inputs, formula or comparison, result, and business implication; identify any active breach, exception, waiver need, deficiency, unresolved inconsistency, control gap, or non-compliance indicator rather than treating the workflow as cleared; name any required approver, authority evidence, authorization, or review prerequisite that controls the outcome; write every percentage value, including percent or percentage-point values, with exactly two decimal places. Open the add-to-position memo with a Markdown bold title on the first non-empty line. Near the end, include the exact handoff label Next action:; if the packet supports no next action, write Next action: none supported by the packet. Keep the add-to-position memo to between four and nine non-empty paragraphs, counting any table or list as part of the paragraph where it appears. Treat the layout as part of the requested finance work product, but do not omit required evidence, calculations, boundaries, or decisions just to satisfy presentation."
tonight_hard_line_018,Decision and Structuring,Loan approval package,DB2;DB6;DB9;EG1;EG2;QV2,"Build an approval package readiness checklist for Harbor Kitchen Supply LLC. Use only the provided documents and cite visible material labels in the Evidence Present column. Format the answer as a table with Package Area, Evidence Present, Gap or Condition, Owner, and Readiness Status columns. Reconcile the sources-and-uses line items to the reported total, classify the package as Ready, Conditional, or Not Ready, and identify the required approval authority. Do not classify the package as Ready if any required evidence is missing or the totals fail to reconcile. Produce the approval package readiness checklist under an audit-ready credit committee posture: connect each final action to the active evidence and the governing rule, policy, task standard, or active-case trigger; keep active source labels beside the material facts, figures, thresholds, missing-evidence triggers, and decision points where they are used; for any calculation or reconciliation, show the source inputs, formula or comparison, result, and business implication; identify any active breach, exception, waiver need, deficiency, unresolved inconsistency, control gap, or non-compliance indicator rather than treating the workflow as cleared; use only packet-supported category, status, classification, or risk-level labels. Open the approval package readiness checklist with a Markdown bold title on the first non-empty line. Near the end, include the exact handoff label Next action:; if the packet supports no next action, write Next action: none supported by the packet. Use at least four numbered list items in the 1. / 2. / 3. style for checks, blockers, steps, or required actions. Keep the full response between 220 and 520 words. Treat the layout as part of the requested finance work product, but do not omit required evidence, calculations, boundaries, or decisions just to satisfy presentation."
tonight_hard_line_055,Decision and Structuring,Loan approval package,DB7;DB9;EG1;EG2;EG5;FP3;QV2,"Create a missing-evidence cure plan for Brightline Dental Partners. Use only the three documents. Present exactly four rows, one for each missing or stale item, with columns Item, Evidence Problem, Approval Impact, Owner, Cure Due Date, and Submit-before-cure Decision. Apply the 60-day and 45-day staleness tests against the 2026-06-30 closing date, state which items block committee submission, and mark which items may instead become conditions precedent. Produce the missing-evidence cure plan under an audit-ready operations handoff posture: connect each final action to the active evidence and the governing rule, policy, task standard, or active-case trigger; keep active source labels beside the material facts, figures, thresholds, missing-evidence triggers, and decision points where they are used; for any calculation or reconciliation, show the source inputs, formula or comparison, result, and business implication; preserve exact source figures, dates, thresholds, names, and rule references when they control the decision; name any required approver, authority evidence, authorization, or review prerequisite that controls the outcome. Open the missing-evidence cure plan with a Markdown bold title on the first non-empty line. Near the end, include the exact handoff label Next action:; if the packet supports no next action, write Next action: none supported by the packet. Keep the missing-evidence cure plan to between four and nine non-empty paragraphs, counting any table or list as part of the paragraph where it appears. Treat the layout as part of the requested finance work product, but do not omit required evidence, calculations, boundaries, or decisions just to satisfy presentation."
