bench_id,workflow,task,sem_tags,task_pass_count,selection_score,query
tonight_hard_line_267,"Execution, Monitoring, Reporting, and Operations",Month-end close / financial reporting support,DB4;DB7;DB9;EG1;EG2;EG5;QV2,6,17.865,"Draft a late adjustment approval memo for Summit Media October 2026. Use only the provided documents and cite visible material labels. State the JE amount, account impact, reason, approvals obtained and missing, test the request against the LA-1 post-distribution threshold, and decide whether package reissue is permitted without saying it has been reissued. Produce the late adjustment approval memo under an audit-ready compliance escalation posture: connect each final action to the active evidence and the governing rule, policy, task standard, or active-case trigger; keep active source labels beside the material facts, figures, thresholds, missing-evidence triggers, and decision points where they are used; for any calculation or reconciliation, show the source inputs, formula or comparison, result, and business implication; preserve exact source figures, dates, thresholds, names, and rule references when they control the decision; name any required approver, authority evidence, authorization, or review prerequisite that controls the outcome. Open the late adjustment approval memo with a Markdown bold title on the first non-empty line. Near the end, include the exact handoff label Next action:; if the packet supports no next action, write Next action: none supported by the packet. Structure the late adjustment approval memo with at least three level-2 Markdown headings that start with ##. Treat the layout as part of the requested finance work product, but do not omit required evidence, calculations, boundaries, or decisions just to satisfy presentation."
tonight_hard_line_150,Intake and Profiling,Counterparty / issuer profile construction,DB4;DB6;DB9;EG1;EG2;EG5;QV2,4,17.852,"Assemble a payment processor counterparty profile for Quayline Payments Inc. from the supplied context only. Use bullet groups for Merchant Mix, Operating Footprint, Risk Metrics, Control and Ownership, Screening, and Intake Completeness. Compare the chargeback rate to the 1.00% concern threshold, identify any missing data-security evidence, cite visible material labels for concerns, classify the intake as complete, incomplete, or concern-triggered, and do not approve payment processing exposure. Produce the payment processor counterparty profile under an audit-ready diligence challenge posture: connect each final action to the active evidence and the governing rule, policy, task standard, or active-case trigger; keep active source labels beside the material facts, figures, thresholds, missing-evidence triggers, and decision points where they are used; for any calculation or reconciliation, show the source inputs, formula or comparison, result, and business implication; preserve exact source figures, dates, thresholds, names, and rule references when they control the decision; use only packet-supported category, status, classification, or risk-level labels; write every percentage value, including percent or percentage-point values, with exactly two decimal places. Open the payment processor counterparty profile with a Markdown bold title on the first non-empty line. Near the end, include the exact handoff label Next action:; if the packet supports no next action, write Next action: none supported by the packet. Keep the payment processor counterparty profile to between four and nine non-empty paragraphs, counting any table or list as part of the paragraph where it appears. Treat the layout as part of the requested finance work product, but do not omit required evidence, calculations, boundaries, or decisions just to satisfy presentation."
tonight_hard_line_092,Intake and Profiling,Missing information checklist,DB4;DB6;DB9;EG1;EG2;EG5;QV2,3,16.852,"Send an internal use-of-proceeds evidence request for Canyon Dental Lab LLC. Use only the provided context. Reconcile each requested use category to evidence received, identify unsupported amounts, classify unsupported items under the loan intake policy, cite visible material labels, assign an owner for each cure, and do not make an underwriting recommendation. Produce the use-of-proceeds evidence request under an audit-ready reconciliation posture: connect each final action to the active evidence and the governing rule, policy, task standard, or active-case trigger; keep active source labels beside the material facts, figures, thresholds, missing-evidence triggers, and decision points where they are used; for any calculation or reconciliation, show the source inputs, formula or comparison, result, and business implication; preserve exact source figures, dates, thresholds, names, and rule references when they control the decision; use only packet-supported category, status, classification, or risk-level labels; write every percentage value, including percent or percentage-point values, with exactly two decimal places. Open the use-of-proceeds evidence request with a Markdown bold title on the first non-empty line. Near the end, include the exact handoff label Next action:; if the packet supports no next action, write Next action: none supported by the packet. Structure the use-of-proceeds evidence request with at least three level-2 Markdown headings that start with ##. Treat the layout as part of the requested finance work product, but do not omit required evidence, calculations, boundaries, or decisions just to satisfy presentation."
tonight_hard_line_072,Risk and Compliance Review,Internal control review,DB4;DB9;EG1;EG2;EG5;FP1;QV2,5,16.647,"Write a journal-entry approval control memo for JE-5197. Separate approval failure from documentation failure under different headings. Use only the context documents, cite the policy threshold and close-binder evidence, determine whether independent approval occurred, identify missing records, and apply the issue rating guide without combining the two deficiencies into one finding. Produce the journal-entry approval control memo under an audit-ready adversarial audit posture: connect each final action to the active evidence and the governing rule, policy, task standard, or active-case trigger; keep active source labels beside the material facts, figures, thresholds, missing-evidence triggers, and decision points where they are used; for any calculation or reconciliation, show the source inputs, formula or comparison, result, and business implication; preserve exact source figures, dates, thresholds, names, and rule references when they control the decision; identify any active breach, exception, waiver need, deficiency, unresolved inconsistency, control gap, or non-compliance indicator rather than treating the workflow as cleared; write every percentage value, including percent or percentage-point values, with exactly two decimal places. Open the journal-entry approval control memo with a Markdown bold title on the first non-empty line. Near the end, include the exact handoff label Next action:; if the packet supports no next action, write Next action: none supported by the packet. Structure the journal-entry approval control memo with at least three level-2 Markdown headings that start with ##. Treat the layout as part of the requested finance work product, but do not omit required evidence, calculations, boundaries, or decisions just to satisfy presentation."
tonight_hard_line_047,Risk and Compliance Review,Stress testing,DB4;DB9;EG1;EG2;EG3;EG5;QV1;QV2,5,16.586,"Prepare a client liquidity stress note for STR-915. Calculate stressed margin requirement by account sleeve, subtract only eligible liquid resources of $5,600,000, show any liquidity shortfall, compare the shortfall with the $1,200,000 same-day escalation threshold, and state next steps without promising that the broker will waive margin. Produce the margin-call liquidity stress under an audit-ready operations handoff posture: connect each final action to the active evidence and the governing rule, policy, task standard, or active-case trigger; keep active source labels beside the material facts, figures, thresholds, missing-evidence triggers, and decision points where they are used; for any calculation or reconciliation, show the source inputs, formula or comparison, result, and business implication; separate source-stated facts from reviewer inferences, assumptions, customer statements, or management assertions; preserve exact source figures, dates, thresholds, names, and rule references when they control the decision; write every percentage value, including percent or percentage-point values, with exactly two decimal places. Open the margin-call liquidity stress with a Markdown bold title on the first non-empty line. Near the end, include the exact handoff label Next action:; if the packet supports no next action, write Next action: none supported by the packet. Structure the margin-call liquidity stress with at least three level-2 Markdown headings that start with ##. Treat the layout as part of the requested finance work product, but do not omit required evidence, calculations, boundaries, or decisions just to satisfy presentation."
tonight_hard_line_088,"Execution, Monitoring, Reporting, and Operations",Post-investment / post-loan review,DB4;DB9;EG1;EG2;EG5;QV2,4,15.897,"Prepare a post-investment liquidity runway review for OrbitMed Devices. Calculate months of runway, compare it with the 9-month requirement and the 2027-02-15 milestone timing, state whether bridge financing evidence is documented, and do not assume new financing. Use only the provided documents and cite the visible material labels for material facts. Produce the post-investment liquidity runway review under an audit-ready adversarial audit posture: connect each final action to the active evidence and the governing rule, policy, task standard, or active-case trigger; keep active source labels beside the material facts, figures, thresholds, missing-evidence triggers, and decision points where they are used; for any calculation or reconciliation, show the source inputs, formula or comparison, result, and business implication; preserve exact source figures, dates, thresholds, names, and rule references when they control the decision; identify any active breach, exception, waiver need, deficiency, unresolved inconsistency, control gap, or non-compliance indicator rather than treating the workflow as cleared. Open the post-investment liquidity runway review with a Markdown bold title on the first non-empty line. Near the end, include the exact handoff label Next action:; if the packet supports no next action, write Next action: none supported by the packet. Use at least four numbered list items in the 1. / 2. / 3. style for checks, blockers, steps, or required actions. Keep the full response between 220 and 520 words. Treat the layout as part of the requested finance work product, but do not omit required evidence, calculations, boundaries, or decisions just to satisfy presentation."
tonight_hard_line_206,"Execution, Monitoring, Reporting, and Operations",Post-investment / post-loan review,DB4;DB9;EG1;EG2;EG5;QV2,4,15.897,"Write an investment thesis update for LumenGrid Analytics. Separate original thesis points, current evidence, and management explanations; classify ARR, net revenue retention, and pilot conversion as On Track, At Risk, or Broken; calculate the ARR shortfall versus plan; and do not recommend additional capital. Use only the provided documents and cite the visible material labels for material facts. Produce the investment thesis update under an audit-ready diligence challenge posture: connect each final action to the active evidence and the governing rule, policy, task standard, or active-case trigger; keep active source labels beside the material facts, figures, thresholds, missing-evidence triggers, and decision points where they are used; for any calculation or reconciliation, show the source inputs, formula or comparison, result, and business implication; preserve exact source figures, dates, thresholds, names, and rule references when they control the decision; identify any active breach, exception, waiver need, deficiency, unresolved inconsistency, control gap, or non-compliance indicator rather than treating the workflow as cleared; write every percentage value, including percent or percentage-point values, with exactly two decimal places. Open the investment thesis update with a Markdown bold title on the first non-empty line. Near the end, include the exact handoff label Next action:; if the packet supports no next action, write Next action: none supported by the packet. Include one Markdown table for the audit trail whose header contains the columns Evidence, Test, Result, and Action. Keep the full response between 180 and 430 words. Treat the layout as part of the requested finance work product, but do not omit required evidence, calculations, boundaries, or decisions just to satisfy presentation."
tonight_hard_line_262,"Execution, Monitoring, Reporting, and Operations",Post-investment / post-loan review,DB4;DB9;EG1;EG2;EG5;QV2,4,15.897,"Build a post-loan annual review action plan for Willow Creek Specialty Chemicals. Group each item as Covenant, Documentation, or Business Update; test DSCR and leverage against their covenants; assign owner, due date, and Open, Completed, or Escalate status; and make sure the leverage breach is not treated as only a documentation request. Use only the provided documents and cite the visible material labels for material facts. Produce the post-loan annual review action plan under an audit-ready diligence challenge posture: connect each final action to the active evidence and the governing rule, policy, task standard, or active-case trigger; keep active source labels beside the material facts, figures, thresholds, missing-evidence triggers, and decision points where they are used; for any calculation or reconciliation, show the source inputs, formula or comparison, result, and business implication; preserve exact source figures, dates, thresholds, names, and rule references when they control the decision; identify any active breach, exception, waiver need, deficiency, unresolved inconsistency, control gap, or non-compliance indicator rather than treating the workflow as cleared; write every percentage value, including percent or percentage-point values, with exactly two decimal places. Open the post-loan annual review action plan with a Markdown bold title on the first non-empty line. Near the end, include the exact handoff label Next action:; if the packet supports no next action, write Next action: none supported by the packet. Structure the post-loan annual review action plan with at least three level-2 Markdown headings that start with ##. Treat the layout as part of the requested finance work product, but do not omit required evidence, calculations, boundaries, or decisions just to satisfy presentation."
tonight_hard_line_358,"Execution, Monitoring, Reporting, and Operations",Post-investment / post-loan review,DB4;DB9;EG1;EG2;EG5;QV2,4,15.897,"Create a post-close covenant review table for Maple Grove Distribution Inc. with columns Requirement, Deadline, Evidence Status, Test Result, Exception Yes/No, and Next Step. Test availability against the $7.5 million minimum, identify missing evidence after the 45-day deadline, and state whether the package can be marked complete. Use only the provided documents and cite the visible material labels for material facts. Produce the post-close covenant review table under an audit-ready diligence challenge posture: connect each final action to the active evidence and the governing rule, policy, task standard, or active-case trigger; keep active source labels beside the material facts, figures, thresholds, missing-evidence triggers, and decision points where they are used; for any calculation or reconciliation, show the source inputs, formula or comparison, result, and business implication; preserve exact source figures, dates, thresholds, names, and rule references when they control the decision; identify any active breach, exception, waiver need, deficiency, unresolved inconsistency, control gap, or non-compliance indicator rather than treating the workflow as cleared. Open the post-close covenant review table with a Markdown bold title on the first non-empty line. Near the end, include the exact handoff label Next action:; if the packet supports no next action, write Next action: none supported by the packet. Use at least four numbered list items in the 1. / 2. / 3. style for checks, blockers, steps, or required actions. Keep the full response between 220 and 520 words. Treat the layout as part of the requested finance work product, but do not omit required evidence, calculations, boundaries, or decisions just to satisfy presentation."
tonight_hard_line_017,Intake and Profiling,Counterparty / issuer profile construction,DB4;DB6;DB9;EG1;EG2;QV2,4,15.88,"Build a trading counterparty limit intake note for Fenwick Grain Cooperative. Use only the context. Show the requested limit as a percentage of tangible net worth, identify any limit-size exception, and classify the intake action as proceed to Credit Risk review, return for information, or block setup. Include legal identity, instrument type, collateral, agreement status, settlement instructions, current exposure, and screening, with document-id citations for exceptions. Do not approve the requested limit. Produce the trading counterparty limit intake under an audit-ready controller review posture: connect each final action to the active evidence and the governing rule, policy, task standard, or active-case trigger; keep active source labels beside the material facts, figures, thresholds, missing-evidence triggers, and decision points where they are used; for any calculation or reconciliation, show the source inputs, formula or comparison, result, and business implication; identify any active breach, exception, waiver need, deficiency, unresolved inconsistency, control gap, or non-compliance indicator rather than treating the workflow as cleared; use only packet-supported category, status, classification, or risk-level labels; write every percentage value, including percent or percentage-point values, with exactly two decimal places. Open the trading counterparty limit intake with a Markdown bold title on the first non-empty line. Near the end, include the exact handoff label Next action:; if the packet supports no next action, write Next action: none supported by the packet. Structure the trading counterparty limit intake with at least three level-2 Markdown headings that start with ##. Treat the layout as part of the requested finance work product, but do not omit required evidence, calculations, boundaries, or decisions just to satisfy presentation."
