tag,priority_rank_within_tag,item_id,source_line,workflow,task,work_product,if_score,quality_score,failed_tag_count,failed_tags,family,check_type,method,constraint,reason,audit_focus
EG2,1,tonight_hard_line_023,23,Decision and Structuring,Underwriting memo,CRE underwriting exception note,,3,1,EG2,Evidence and Grounding,LLM,judge:openai:gpt-4o,"Material facts, numeric inputs, thresholds, calculation results, missing-evidence triggers, and decision points must have active source labels next to the sentence, row, or bullet where they are used; collected end-only citations are not sufficient.",Some decision points lack active source labels next to them.,"Key facts, thresholds, calculations, and decisions should carry active source labels at the point of use."
EG2,2,tonight_hard_line_028,28,Decision and Structuring,Portfolio proposal,employer stock transition proposal,,3,1,EG2,Evidence and Grounding,LLM,judge:openai:gpt-4o,"Material facts, numeric inputs, thresholds, calculation results, missing-evidence triggers, and decision points must have active source labels next to the sentence, row, or bullet where they are used; collected end-only citations are not sufficient.",Some material facts lack active source labels next to them.,"Key facts, thresholds, calculations, and decisions should carry active source labels at the point of use."
EG2,3,tonight_hard_line_045,45,Decision and Structuring,Credit memo drafting,annual renewal credit memorandum,,3,1,EG2,Evidence and Grounding,LLM,judge:openai:gpt-4o,"Material facts, numeric inputs, thresholds, calculation results, missing-evidence triggers, and decision points must have active source labels next to the sentence, row, or bullet where they are used; collected end-only citations are not sufficient.",Not all material facts and calculations have active source labels next to them.,"Key facts, thresholds, calculations, and decisions should carry active source labels at the point of use."
EG2,4,tonight_hard_line_081,81,Decision and Structuring,Underwriting memo,project finance underwriting risk memo,,3,1,EG2,Evidence and Grounding,LLM,judge:openai:gpt-4o,"Material facts, numeric inputs, thresholds, calculation results, missing-evidence triggers, and decision points must have active source labels next to the sentence, row, or bullet where they are used; collected end-only citations are not sufficient.",Some material facts lack active source labels next to them.,"Key facts, thresholds, calculations, and decisions should carry active source labels at the point of use."
EG2,5,tonight_hard_line_091,91,Decision and Structuring,DCF valuation / pricing analysis,terminal growth sensitivity answer,,3,1,EG2,Evidence and Grounding,LLM,judge:openai:gpt-4o,"Material facts, numeric inputs, thresholds, calculation results, missing-evidence triggers, and decision points must have active source labels next to the sentence, row, or bullet where they are used; collected end-only citations are not sufficient.",Not all material facts and calculations have active source labels next to them.,"Key facts, thresholds, calculations, and decisions should carry active source labels at the point of use."
EG2,6,tonight_hard_line_093,93,Decision and Structuring,Credit memo drafting,tenor policy waiver request memo,,3,1,EG2,Evidence and Grounding,LLM,judge:openai:gpt-4o,"Material facts, numeric inputs, thresholds, calculation results, missing-evidence triggers, and decision points must have active source labels next to the sentence, row, or bullet where they are used; collected end-only citations are not sufficient.",Not all material facts and calculations have active source labels next to them.,"Key facts, thresholds, calculations, and decisions should carry active source labels at the point of use."
EG2,7,tonight_hard_line_107,107,Decision and Structuring,Investment memo,IPS compatibility memo,,3,1,EG2,Evidence and Grounding,LLM,judge:openai:gpt-4o,"Material facts, numeric inputs, thresholds, calculation results, missing-evidence triggers, and decision points must have active source labels next to the sentence, row, or bullet where they are used; collected end-only citations are not sufficient.",Not all material facts and calculations have active source labels next to them.,"Key facts, thresholds, calculations, and decisions should carry active source labels at the point of use."
EG2,8,tonight_hard_line_110,110,Decision and Structuring,Portfolio proposal,municipal bond allocation proposal,,3,1,EG2,Evidence and Grounding,LLM,judge:openai:gpt-4o,"Material facts, numeric inputs, thresholds, calculation results, missing-evidence triggers, and decision points must have active source labels next to the sentence, row, or bullet where they are used; collected end-only citations are not sufficient.",Not all material facts and calculations have active source labels.,"Key facts, thresholds, calculations, and decisions should carry active source labels at the point of use."
EG2,9,tonight_hard_line_162,162,Decision and Structuring,Trade order ticket preparation,concentration-limit order review ticket,,3,1,EG2,Evidence and Grounding,LLM,judge:openai:gpt-4o,"Material facts, numeric inputs, thresholds, calculation results, missing-evidence triggers, and decision points must have active source labels next to the sentence, row, or bullet where they are used; collected end-only citations are not sufficient.",Not all material facts and calculations have active source labels next to them.,"Key facts, thresholds, calculations, and decisions should carry active source labels at the point of use."
EG2,10,tonight_hard_line_215,215,Decision and Structuring,Investment memo,add-to-position memo,,3,1,EG2,Evidence and Grounding,LLM,judge:openai:gpt-4o,"Material facts, numeric inputs, thresholds, calculation results, missing-evidence triggers, and decision points must have active source labels next to the sentence, row, or bullet where they are used; collected end-only citations are not sufficient.",Not all material facts and calculations have active source labels next to them.,"Key facts, thresholds, calculations, and decisions should carry active source labels at the point of use."
