id,workflow,task,quality,micro,failed_tags,query
decision_underwriting_memo_repaired_002,Decision and Structuring,Underwriting memo,10,0.9166666666666666,FP2,"Prepare a short SBA eligibility screen memo for Greenline Courier LLC that answers whether the file can move to conditional underwriting. In a four-row table, show business eligibility, Form 601 trigger, guarantor coverage, and repayment capacity. use only the provided materials, cite visible material labels in each row, compute DSCR and borrower cash injection percentage, mark the pending IRS tax transcripts as unresolved, and do not call the request fully approved. Produce the SBA eligibility screen memo under an audit-ready credit committee posture: connect each final action to the active evidence and the governing rule, policy, task standard, or active-case trigger; keep active source labels beside the material facts, figures, thresholds, missing-evidence triggers, and decision points where they are used; for any calculation or reconciliation, show the source inputs, formula or comparison, result, and business implication; identify any active breach, exception, waiver need, deficiency, unresolved inconsistency, control gap, or non-compliance indicator rather than treating the workflow as cleared; name any required approver, authority evidence, authorization, or review prerequisite that controls the outcome; write every percentage value, including percent or percentage-point values, with exactly two decimal places. Open the SBA eligibility screen memo with a Markdown bold title on the first non-empty line. Near the end, include the exact handoff label Next action:; if the packet supports no next action, write Next action: none supported by the packet. Include one Markdown table for the audit trail whose header contains the columns Evidence, Test, Result, and Action. Keep the full response between 180 and 430 words. Treat the layout as part of the requested finance work product, but do not omit required evidence, calculations, boundaries, or decisions just to satisfy presentation."
decision_structuring_credit_memo_drafting_repaired_018,Decision and Structuring,Credit memo drafting,10,0.9090909090909091,FP3,"Compose an owner-occupied real estate credit memo for Greenfield Veterinary Clinic. Show business DSCR, global DSCR, and LTV in a small calculation table; discuss guarantor support; compare all ratios with policy; recommend approve, approve with conditions, or decline; and cite visible material labels. Use only the supplied documents. Produce the owner-occupied real estate credit memo under an audit-ready credit committee posture: connect each final action to the active evidence and the governing rule, policy, task standard, or active-case trigger; keep active source labels beside the material facts, figures, thresholds, missing-evidence triggers, and decision points where they are used; for any calculation or reconciliation, show the source inputs, formula or comparison, result, and business implication; keep hypothetical, projected, target, testimonial, endorsement, ranking, sales-claim, and performance language inside the boundary supported by the packet; for any comparison, ranking, alternative, scenario, or trade-off, state the comparison basis, source inputs, result, and decision implication; write every percentage value, including percent or percentage-point values, with exactly two decimal places. Open the owner-occupied real estate credit memo with a Markdown bold title on the first non-empty line. Near the end, include the exact handoff label Next action:; if the packet supports no next action, write Next action: none supported by the packet. Include at least two short Markdown blockquote lines beginning with > for source or rule excerpts that anchor the decision. Use at least eight complete sentences in the full response. Treat the layout as part of the requested finance work product, but do not omit required evidence, calculations, boundaries, or decisions just to satisfy presentation."
decision_structuring_investment_memo_007,Decision and Structuring,Investment memo,10,0.9090909090909091,FP3,"Draft a product selection memo for replacing the international equity ETF. Rank Product X and Product Y from preferred to less preferred; cover expense ratio, assets, holdings coverage, tracking difference, and securities-lending split; flag whether either product triggers the below-$3 billion operational review; use document citations; and do not add client tax analysis because no tax data is provided. Produce the product selection memo under an audit-ready operations handoff posture: connect each final action to the active evidence and the governing rule, policy, task standard, or active-case trigger; keep active source labels beside the material facts, figures, thresholds, missing-evidence triggers, and decision points where they are used; for any calculation or reconciliation, show the source inputs, formula or comparison, result, and business implication; name any required approver, authority evidence, authorization, or review prerequisite that controls the outcome; for any comparison, ranking, alternative, scenario, or trade-off, state the comparison basis, source inputs, result, and decision implication; write every percentage value, including percent or percentage-point values, with exactly two decimal places. Open the product selection memo with a Markdown bold title on the first non-empty line. Near the end, include the exact handoff label Next action:; if the packet supports no next action, write Next action: none supported by the packet. Include at least two short Markdown blockquote lines beginning with > for source or rule excerpts that anchor the decision. Use at least eight complete sentences in the full response. Treat the layout as part of the requested finance work product, but do not omit required evidence, calculations, boundaries, or decisions just to satisfy presentation."
decision_structuring_portfolio_proposal_006,Decision and Structuring,Portfolio proposal,10,0.9090909090909091,FP3,"Prepare a income portfolio proposal for Lakeside Retirement Account. Present the output as sections Income Coverage, Reserve Check, Allocation Fit, Recommendation. Use only the provided documents and cite visible material labels for material facts. The proposal must estimate annual income from value and yield; compare estimated income with a $72,000 withdrawal need; recommend maintain, adjust, or decline; and avoid describing income as guaranteed. Address the client objective, current portfolio facts, and policy constraints supplied in the context. Produce the income portfolio proposal under an audit-ready diligence challenge posture: connect each final action to the active evidence and the governing rule, policy, task standard, or active-case trigger; keep active source labels beside the material facts, figures, thresholds, missing-evidence triggers, and decision points where they are used; for any calculation or reconciliation, show the source inputs, formula or comparison, result, and business implication; preserve exact source figures, dates, thresholds, names, and rule references when they control the decision; identify any active breach, exception, waiver need, deficiency, unresolved inconsistency, control gap, or non-compliance indicator rather than treating the workflow as cleared; write every percentage value, including percent or percentage-point values, with exactly two decimal places. Open the income portfolio proposal with a Markdown bold title on the first non-empty line. Near the end, include the exact handoff label Next action:; if the packet supports no next action, write Next action: none supported by the packet. Include at least two short Markdown blockquote lines beginning with > for source or rule excerpts that anchor the decision. Use at least eight complete sentences in the full response. Treat the layout as part of the requested finance work product, but do not omit required evidence, calculations, boundaries, or decisions just to satisfy presentation."
decision_structuring_portfolio_proposal_016,Decision and Structuring,Portfolio proposal,10,0.9090909090909091,FP3,"Prepare a donor-advised fund allocation proposal for Maple DAF Account. Present the output as sections Grant Liquidity, Allocation Drift, Concentration, Recommendation. Use only the provided documents and cite visible material labels for material facts. The proposal must calculate whether cash covers planned grants; flag the 28% ETF concentration; recommend whether to reserve cash before adding risk assets; and do not provide donor tax advice. Address the client objective, current portfolio facts, and policy constraints supplied in the context. Produce the donor-advised fund allocation proposal under an audit-ready adversarial audit posture: connect each final action to the active evidence and the governing rule, policy, task standard, or active-case trigger; keep active source labels beside the material facts, figures, thresholds, missing-evidence triggers, and decision points where they are used; for any calculation or reconciliation, show the source inputs, formula or comparison, result, and business implication; preserve exact source figures, dates, thresholds, names, and rule references when they control the decision; identify any active breach, exception, waiver need, deficiency, unresolved inconsistency, control gap, or non-compliance indicator rather than treating the workflow as cleared; write every percentage value, including percent or percentage-point values, with exactly two decimal places. Open the donor-advised fund allocation proposal with a Markdown bold title on the first non-empty line. Near the end, include the exact handoff label Next action:; if the packet supports no next action, write Next action: none supported by the packet. Include at least two short Markdown blockquote lines beginning with > for source or rule excerpts that anchor the decision. Use at least eight complete sentences in the full response. Treat the layout as part of the requested finance work product, but do not omit required evidence, calculations, boundaries, or decisions just to satisfy presentation."
decision_underwriting_memo_repaired_023,Decision and Structuring,Underwriting memo,10,0.9090909090909091,FP3,"Produce a trade credit insurance underwriting memo for Orion Plastics. Calculate largest-buyer concentration and over-90-day receivables percentage, compare both to referral triggers, recommend a coverage-limit view and any exclusion or condition, cite the evidence, and do not bind coverage. Produce the trade credit insurance underwriting memo under an audit-ready operations handoff posture: connect each final action to the active evidence and the governing rule, policy, task standard, or active-case trigger; keep active source labels beside the material facts, figures, thresholds, missing-evidence triggers, and decision points where they are used; for any calculation or reconciliation, show the source inputs, formula or comparison, result, and business implication; use only packet-supported category, status, classification, or risk-level labels; for any comparison, ranking, alternative, scenario, or trade-off, state the comparison basis, source inputs, result, and decision implication; write every percentage value, including percent or percentage-point values, with exactly two decimal places. Open the trade credit insurance underwriting memo with a Markdown bold title on the first non-empty line. Near the end, include the exact handoff label Next action:; if the packet supports no next action, write Next action: none supported by the packet. Structure the trade credit insurance underwriting memo with at least three level-2 Markdown headings that start with ##. Treat the layout as part of the requested finance work product, but do not omit required evidence, calculations, boundaries, or decisions just to satisfy presentation."
decision_structuring_capital_structure_financing_proposal_001,Decision and Structuring,Capital structure / financing proposal,10,0.9,FP3,"Prepare a debt-equity mix financing proposal for HarborPoint Clinics. Present a side-by-side table of the three alternatives, then recommend the mix that best balances control, cash interest burden, covenant headroom, and first-year liquidity. Use only the provided documents, cite visible material labels, calculate pro forma funded debt/EBITDA and annual cash interest for each alternative, flag any alternative that breaches the 4.25x leverage covenant, and do not state that investor or lender approval is assured. Produce the debt-equity mix financing proposal under an audit-ready disclosure-review posture: connect each final action to the active evidence and the governing rule, policy, task standard, or active-case trigger; keep active source labels beside the material facts, figures, thresholds, missing-evidence triggers, and decision points where they are used; for any calculation or reconciliation, show the source inputs, formula or comparison, result, and business implication; identify any active breach, exception, waiver need, deficiency, unresolved inconsistency, control gap, or non-compliance indicator rather than treating the workflow as cleared; name any required approver, authority evidence, authorization, or review prerequisite that controls the outcome; write every percentage value, including percent or percentage-point values, with exactly two decimal places. Open the debt-equity mix financing proposal with a Markdown bold title on the first non-empty line. Near the end, include the exact handoff label Next action:; if the packet supports no next action, write Next action: none supported by the packet. Include at least two short Markdown blockquote lines beginning with > for source or rule excerpts that anchor the decision. Use at least eight complete sentences in the full response. Treat the layout as part of the requested finance work product, but do not omit required evidence, calculations, boundaries, or decisions just to satisfy presentation."
decision_dcf_pricing_repaired_018,Decision and Structuring,DCF valuation / pricing analysis,10,0.9,FP3,"Perform a rights-offering subscription price check for Northridge Bank. Calculate the discount to 10-day VWAP, determine whether CFO sign-off is required, compare the subscription price with tangible book value per share, determine whether board review is triggered, cite visible material labels, and keep the answer to pricing governance without drafting offering language or giving a securities-law conclusion. Produce the rights offering subscription price check under an audit-ready diligence challenge posture: connect each final action to the active evidence and the governing rule, policy, task standard, or active-case trigger; keep active source labels beside the material facts, figures, thresholds, missing-evidence triggers, and decision points where they are used; for any calculation or reconciliation, show the source inputs, formula or comparison, result, and business implication; keep hypothetical, projected, target, testimonial, endorsement, ranking, sales-claim, and performance language inside the boundary supported by the packet; for any comparison, ranking, alternative, scenario, or trade-off, state the comparison basis, source inputs, result, and decision implication; write every percentage value, including percent or percentage-point values, with exactly two decimal places. Open the rights offering subscription price check with a Markdown bold title on the first non-empty line. Near the end, include the exact handoff label Next action:; if the packet supports no next action, write Next action: none supported by the packet. Structure the rights offering subscription price check with at least three level-2 Markdown headings that start with ##. Treat the layout as part of the requested finance work product, but do not omit required evidence, calculations, boundaries, or decisions just to satisfy presentation."
decision_structuring_investment_memo_015,Decision and Structuring,Investment memo,10,0.9,FP3,"Prepare a hedge allocation memo for the proposed gold ETF allocation. Calculate post-trade gold exposure; test it against the 0%-3% risk-control range; cover hedge objective, funding source, vehicle cost, liquidity, correlation evidence, and unwind trigger; cite the mixed correlation evidence; decide Implement, Reject, or Revise; and do not state that the hedge eliminates downside risk. Produce the hedge allocation memo under an audit-ready operations handoff posture: connect each final action to the active evidence and the governing rule, policy, task standard, or active-case trigger; keep active source labels beside the material facts, figures, thresholds, missing-evidence triggers, and decision points where they are used; for any calculation or reconciliation, show the source inputs, formula or comparison, result, and business implication; for any comparison, ranking, alternative, scenario, or trade-off, state the comparison basis, source inputs, result, and decision implication; for any stress, sensitivity, shock, downside, or scenario test, keep the assumption, horizon, source inputs, formula or comparison, and final result tied together; write every percentage value, including percent or percentage-point values, with exactly two decimal places. Open the hedge allocation memo with a Markdown bold title on the first non-empty line. Near the end, include the exact handoff label Next action:; if the packet supports no next action, write Next action: none supported by the packet. Structure the hedge allocation memo with at least three level-2 Markdown headings that start with ##. Treat the layout as part of the requested finance work product, but do not omit required evidence, calculations, boundaries, or decisions just to satisfy presentation."
decision_structuring_loan_approval_package_repaired_009,Decision and Structuring,Loan approval package,10,0.9,FP3,"Prepare a construction-form trigger memo for Prairie Solar Services. Use only the documents provided. State whether SBA Form 601 is required, show the construction or renovation amount that triggers the test, cite the source for the trigger, identify the package gap, and assign the cure owner. Keep the memo under 180 words and do not mark the SBA approval package complete if the required form is absent. Produce the construction form trigger memo under an audit-ready disclosure-review posture: connect each final action to the active evidence and the governing rule, policy, task standard, or active-case trigger; keep active source labels beside the material facts, figures, thresholds, missing-evidence triggers, and decision points where they are used; for any calculation or reconciliation, show the source inputs, formula or comparison, result, and business implication; identify any active breach, exception, waiver need, deficiency, unresolved inconsistency, control gap, or non-compliance indicator rather than treating the workflow as cleared; name any required approver, authority evidence, authorization, or review prerequisite that controls the outcome. Open the construction form trigger memo with a Markdown bold title on the first non-empty line. Near the end, include the exact handoff label Next action:; if the packet supports no next action, write Next action: none supported by the packet. Include at least two short Markdown blockquote lines beginning with > for source or rule excerpts that anchor the decision. Use at least eight complete sentences in the full response. Treat the layout as part of the requested finance work product, but do not omit required evidence, calculations, boundaries, or decisions just to satisfy presentation."
