id,workflow,task,quality,micro,failed_tags,priority_tags,selection_score,query
decision_structuring_trade_order_ticket_preparation_027,Decision and Structuring,Trade order ticket preparation,3,0.6,DB7;DB9;EG2;QV2,DB7;DB9;QV2,18.9,"Draft a multi-leg option spread order ticket for the XYZ adjustment. List each option leg separately, classify the strategy, verify that 2 contracts are covered by 300 underlying shares, record the net credit limit, mark the order solicited, and state whether the ticket fits the account options approval level. Produce the option spread order ticket under an audit-ready operations handoff posture: connect each final action to the active evidence and the governing rule, policy, task standard, or active-case trigger; keep active source labels beside the material facts, figures, thresholds, missing-evidence triggers, and decision points where they are used; for any calculation or reconciliation, show the source inputs, formula or comparison, result, and business implication; use only packet-supported category, status, classification, or risk-level labels; name any required approver, authority evidence, authorization, or review prerequisite that controls the outcome; write every percentage value, including percent or percentage-point values, with exactly two decimal places. Open the option spread order ticket with a Markdown bold title on the first non-empty line. Near the end, include the exact handoff label Next action:; if the packet supports no next action, write Next action: none supported by the packet. Use at least four numbered list items in the 1. / 2. / 3. style for checks, blockers, steps, or required actions. Keep the full response between 220 and 520 words. Treat the layout as part of the requested finance work product, but do not omit required evidence, calculations, boundaries, or decisions just to satisfy presentation."
decision_structuring_capital_structure_financing_proposal_004,Decision and Structuring,Capital structure / financing proposal,3,0.555556,DB7;DB9;EG2;QV2,DB7;DB9;QV2,18.789,"Build a maturity-wall action plan for Eastbank Cold Storage. Use a timeline format that shows what matures at 6, 14, and 30 months before and after the proposed actions. Use only the provided documents, cite visible material labels, calculate how much debt remains due inside 18 months under Options A, B, and C, assess which option most reduces refinancing concentration, include the customer-loss EBITDA sensitivity, and state which open approvals or execution risks remain. Produce the maturity-wall action plan under an audit-ready adversarial audit posture: connect each final action to the active evidence and the governing rule, policy, task standard, or active-case trigger; keep active source labels beside the material facts, figures, thresholds, missing-evidence triggers, and decision points where they are used; for any calculation or reconciliation, show the source inputs, formula or comparison, result, and business implication; identify any active breach, exception, waiver need, deficiency, unresolved inconsistency, control gap, or non-compliance indicator rather than treating the workflow as cleared; name any required approver, authority evidence, authorization, or review prerequisite that controls the outcome; write every percentage value, including percent or percentage-point values, with exactly two decimal places. Open the maturity-wall action plan with a Markdown bold title on the first non-empty line. Near the end, include the exact handoff label Next action:; if the packet supports no next action, write Next action: none supported by the packet. Structure the maturity-wall action plan with at least three level-2 Markdown headings that start with ##. Treat the layout as part of the requested finance work product, but do not omit required evidence, calculations, boundaries, or decisions just to satisfy presentation."
execution_month_end_close_financial_reporting_support_repaired_28,"Execution, Monitoring, Reporting, and Operations",Month-end close / financial reporting support,3,0.8,DB7;DB9,DB7;DB9,16.8,"Create a close review sign-off matrix for North Coast SaaS January 2026. Use only the provided documents and cite visible material labels. Show preparer and reviewer status for each close area, identify missing sign-offs, classify material KPI-related areas with missing sign-off as close blockers, list owner and target completion time where available, and do not mark a material area complete when sign-off is missing. Produce the close review sign-off matrix under an audit-ready adversarial audit posture: connect each final action to the active evidence and the governing rule, policy, task standard, or active-case trigger; keep active source labels beside the material facts, figures, thresholds, missing-evidence triggers, and decision points where they are used; for any approval, rejection, hold, escalation, exception, classification, recommendation, or boundary, name the controlling trigger and why a softer or opposite outcome is not supported; use only packet-supported category, status, classification, or risk-level labels. Open the close review sign-off matrix with a Markdown bold title on the first non-empty line. Near the end, include the exact handoff label Next action:; if the packet supports no next action, write Next action: none supported by the packet. Include one Markdown table for the audit trail whose header contains the columns Evidence, Test, Result, and Action. Keep the full response between 180 and 430 words. Treat the layout as part of the requested finance work product, but do not omit required evidence, calculations, boundaries, or decisions just to satisfy presentation."
intake_service_scope_repaired_017,Intake and Profiling,Service scope explanation,3,0.8,DB7;DB9,DB7;DB9,16.8,"Prepare a scope handoff note for Silvergate Components Ltd. use only the provided materials. Include one client-facing sentence and one internal Compliance handoff section. The client-facing sentence must explain that Compliance review is needed without calling the activity suspicious or promising no delay. The internal section must list unresolved facts and state the SEC source-status caveat. Produce the scope handoff note under an audit-ready disclosure-review posture: connect each final action to the active evidence and the governing rule, policy, task standard, or active-case trigger; keep active source labels beside the material facts, figures, thresholds, missing-evidence triggers, and decision points where they are used; for any approval, rejection, hold, escalation, exception, classification, recommendation, or boundary, name the controlling trigger and why a softer or opposite outcome is not supported; preserve exact source figures, dates, thresholds, names, and rule references when they control the decision. Open the scope handoff note with a Markdown bold title on the first non-empty line. Near the end, include the exact handoff label Next action:; if the packet supports no next action, write Next action: none supported by the packet. Include one Markdown table for the audit trail whose header contains the columns Evidence, Test, Result, and Action. Keep the full response between 180 and 430 words. Treat the layout as part of the requested finance work product, but do not omit required evidence, calculations, boundaries, or decisions just to satisfy presentation."
execution_risk_alert_generation_repaired_023,"Execution, Monitoring, Reporting, and Operations",Risk alert generation,4,0.818182,QV2;QV5,QV2;QV5,15.245,"Draft a vendor risk alert for the NorthBridge Data Services incident. Use only the provided documents, cite the incident notification status, identify the affected production data feed, separate known facts from unknowns, include the last clean valuation file date, do not state that client data was exfiltrated, name the business owner, and include the required actions with deadline. Produce the vendor risk alert under an audit-ready operations handoff posture: connect each final action to the active evidence and the governing rule, policy, task standard, or active-case trigger; keep active source labels beside the material facts, figures, thresholds, missing-evidence triggers, and decision points where they are used; for any calculation or reconciliation, show the source inputs, formula or comparison, result, and business implication; for any deadline, review window, date count, aging bucket, retention period, or as-of-date test, show source dates, formula or comparison, timing status, and business implication; write every percentage value, including percent or percentage-point values, with exactly two decimal places. Open the vendor risk alert with a Markdown bold title on the first non-empty line. Near the end, include the exact handoff label Next action:; if the packet supports no next action, write Next action: none supported by the packet. Include one Markdown table for the audit trail whose header contains the columns Evidence, Test, Result, and Action. Keep the full response between 180 and 430 words. Treat the layout as part of the requested finance work product, but do not omit required evidence, calculations, boundaries, or decisions just to satisfy presentation."
intake_missing_information_checklist_repaired_012,Intake and Profiling,Missing information checklist,3,0.727273,DB7;DB9;EG2,DB7;DB9,14.418,"Create an address evidence cure checklist for Riverton Craft Foods LLC. Use only the provided context. List accepted evidence, stale evidence, conflicting evidence, and missing cure evidence in separate sections. cite visible material labels, preserve the two different street numbers, classify each address issue as blocker or follow-up, and do not use the PO box as a physical address substitute. Produce the address evidence cure checklist under an audit-ready reconciliation posture: connect each final action to the active evidence and the governing rule, policy, task standard, or active-case trigger; keep active source labels beside the material facts, figures, thresholds, missing-evidence triggers, and decision points where they are used; for any approval, rejection, hold, escalation, exception, classification, recommendation, or boundary, name the controlling trigger and why a softer or opposite outcome is not supported; preserve exact source figures, dates, thresholds, names, and rule references when they control the decision; use only packet-supported category, status, classification, or risk-level labels. Open the address evidence cure checklist with a Markdown bold title on the first non-empty line. Near the end, include the exact handoff label Next action:; if the packet supports no next action, write Next action: none supported by the packet. Use at least four numbered list items in the 1. / 2. / 3. style for checks, blockers, steps, or required actions. Keep the full response between 220 and 520 words. Treat the layout as part of the requested finance work product, but do not omit required evidence, calculations, boundaries, or decisions just to satisfy presentation."
risk_sales_script_communication_compliance_repaired_026,Risk and Compliance Review,Sales-script / communication compliance,3,0.727273,DB7;DB9;EG2,DB7;DB9,14.418,"Audit COMM-825 for ranking and AI model claims. Use only a compact table with rows for #1 ranking, 200 strategies, recession protection, and AI model label. For each row, state Supported, Unsupported, or Needs qualification; cite evidence; and give the required edit or record. Produce the model-ranking campaign review under an audit-ready diligence challenge posture: connect each final action to the active evidence and the governing rule, policy, task standard, or active-case trigger; keep active source labels beside the material facts, figures, thresholds, missing-evidence triggers, and decision points where they are used; for any approval, rejection, hold, escalation, exception, classification, recommendation, or boundary, name the controlling trigger and why a softer or opposite outcome is not supported; preserve exact source figures, dates, thresholds, names, and rule references when they control the decision; use only packet-supported category, status, classification, or risk-level labels. Open the model-ranking campaign review with a Markdown bold title on the first non-empty line. Near the end, include the exact handoff label Next action:; if the packet supports no next action, write Next action: none supported by the packet. Include one Markdown table for the audit trail whose header contains the columns Evidence, Test, Result, and Action. Keep the full response between 180 and 430 words. Treat the layout as part of the requested finance work product, but do not omit required evidence, calculations, boundaries, or decisions just to satisfy presentation."
intake_client_risk_profiling_repaired_008,Intake and Profiling,Client risk profiling,3,0.692308,DB7;DB9;EG2,DB7;DB9,14.331,"Write a client-facing clarification email to Omar Velez about his risk profile gaps. Mention only the missing or conflicting profile facts, ask no more than five numbered questions, avoid internal policy codes, and include a sentence that the email is not a recommendation to buy, sell, or hold investments. Produce the client-facing profile clarification email under an audit-ready adversarial audit posture: connect each final action to the active evidence and the governing rule, policy, task standard, or active-case trigger; keep active source labels beside the material facts, figures, thresholds, missing-evidence triggers, and decision points where they are used; for any approval, rejection, hold, escalation, exception, classification, recommendation, or boundary, name the controlling trigger and why a softer or opposite outcome is not supported; identify any active breach, exception, waiver need, deficiency, unresolved inconsistency, control gap, or non-compliance indicator rather than treating the workflow as cleared; name any required approver, authority evidence, authorization, or review prerequisite that controls the outcome; write every percentage value, including percent or percentage-point values, with exactly two decimal places. Open the client-facing profile clarification email with a Markdown bold title on the first non-empty line. Near the end, include the exact handoff label Next action:; if the packet supports no next action, write Next action: none supported by the packet. Structure the client-facing profile clarification email with at least three level-2 Markdown headings that start with ##. Treat the layout as part of the requested finance work product, but do not omit required evidence, calculations, boundaries, or decisions just to satisfy presentation."
risk_aml_red_flag_review_repaired_010,Risk and Compliance Review,AML red-flag review,3,0.666667,DB7;DB9;EG2,DB7;DB9,14.267,"Draft a SAR-style issue summary for AML-RF-010 in neutral language. Cover who, what, when, where, and how; cite source documents for the facts; identify missing information; state whether the facts support SAR escalation review; and avoid legal conclusions such as fraud, laundering, or criminal conduct. Produce the SAR-style issue summary under an audit-ready diligence challenge posture: connect each final action to the active evidence and the governing rule, policy, task standard, or active-case trigger; keep active source labels beside the material facts, figures, thresholds, missing-evidence triggers, and decision points where they are used; for any approval, rejection, hold, escalation, exception, classification, recommendation, or boundary, name the controlling trigger and why a softer or opposite outcome is not supported; separate source-stated facts from reviewer inferences, assumptions, customer statements, or management assertions. Open the SAR-style issue summary with a Markdown bold title on the first non-empty line. Near the end, include the exact handoff label Next action:; if the packet supports no next action, write Next action: none supported by the packet. Use at least four numbered list items in the 1. / 2. / 3. style for checks, blockers, steps, or required actions. Keep the full response between 220 and 520 words. Treat the layout as part of the requested finance work product, but do not omit required evidence, calculations, boundaries, or decisions just to satisfy presentation."
risk_compliance_internal_control_review_repaired_009,Risk and Compliance Review,Internal control review,3,0.636364,DB7;DB9;EG2,DB7;DB9,14.191,"Draft a customer-data-change control review for case CSD-771. Use only the supplied documents and cite the documents for each fact. Compare the payment-instruction and mailing-address changes against the procedure, distinguish evidence present from evidence missing, decide whether the callback control operated as required, and state whether customer-impact risk exists without speculating about fraud. Produce the customer-data-change control review under an audit-ready disclosure-review posture: connect each final action to the active evidence and the governing rule, policy, task standard, or active-case trigger; keep active source labels beside the material facts, figures, thresholds, missing-evidence triggers, and decision points where they are used; for any approval, rejection, hold, escalation, exception, classification, recommendation, or boundary, name the controlling trigger and why a softer or opposite outcome is not supported; name any required approver, authority evidence, authorization, or review prerequisite that controls the outcome; for any deadline, review window, date count, aging bucket, retention period, or as-of-date test, show source dates, formula or comparison, timing status, and business implication. Open the customer-data-change control review with a Markdown bold title on the first non-empty line. Near the end, include the exact handoff label Next action:; if the packet supports no next action, write Next action: none supported by the packet. Use at least four numbered list items in the 1. / 2. / 3. style for checks, blockers, steps, or required actions. Keep the full response between 220 and 520 words. Treat the layout as part of the requested finance work product, but do not omit required evidence, calculations, boundaries, or decisions just to satisfy presentation."
