item_id,workflow,task,if_score,quality_raw,failed_tags,eg2_only,query_explicit,full_prompt_explicit,constraint_present,eg2_constraint,judge_reason,response_excerpt
tonight_hard_line_191,Intake and Profiling,Service scope explanation,0.9230769230769231,6,EG2,yes,yes,yes,yes,"Material facts, numeric inputs, thresholds, calculation results, missing-evidence triggers, and decision points must have active source labels next to the sentence, row, or bullet where they are used; collected end-only citations are not sufficient.",Some material facts lack active source labels next to them.,"**Third-Party Dependency Explanation — Maple Junction Fitness LLC**

Maple Junction Fitness LLC’s $480,000 franchise equipment loan request cannot move to a commitment-letter position today because the intake file is incomplete and the governing service note states that a commitment letter “cannot be issued at intake” and “cannot be discussed as available until underwriting and required approvals are complete” [country exposure note]. This is not an underwriting decision or approval indication.

Borrower-provided items currently reflected in the packet are: draft borrower information form, franchise disclosure document excerpt, bank statements, and owner list showing Tara Singh at 80.00% and Paul Singh at 20.00% [EDD threshold rule]. Ownership reconciliation: 80.00% + 20.00% = 100.00%; business implication: the packet identifies all listed ownership interests, but Paul Singh’s required personal financial statement remains missing [EDD threshold rule].

Third-party or external dependency items still needed are: final vendor quotes and the franchisor consent letter [EDD threshold rule]. Additional borrower authorization/intake items still missing are: signed credit authorization and..."
tonight_hard_line_028,Decision and Structuring,Portfolio proposal,0.9166666666666666,6,EG2,yes,yes,yes,yes,"Material facts, numeric inputs, thresholds, calculation results, missing-evidence triggers, and decision points must have active source labels next to the sentence, row, or bullet where they are used; collected end-only citations are not sufficient.",Some material facts lack active source labels next to them.,"**Employer Stock Transition Proposal — Vista Executive Account**

## Concentration

Client objective: transition Vista Executive Account toward the stated policy allocation of 46.00% equities, 39.00% fixed income, and 10.00% cash or reserve assets [confirmation draft]. Current total portfolio value is $8.20 million, and the scenario-specific exposure requiring this employer-stock transition proposal is 45.00% current equity or risk exposure [order ticket].

Required employer-stock limit reconciliation:  
- Source inputs: $8.20 million portfolio value; 45.00% current exposure; 15.00% employer-stock limit [order ticket; correction procedure].  
- Current exposure value: $8.20 million × 45.00% = $3.69 million.  
- Permitted value at 15.00% limit: $8.20 million × 15.00% = $1.23 million.  
- Excess: 45.00% − 15.00% = 30.00 percentage points; $3.69 million − $1.23 million = $2.46 million.

Business implication: the active-case exposure is above the 15.00% employer-stock limit by $2.46 million and 30.00 percentage points, triggering a transition recommendation and approval or exception review rather than cleared trading [confirmation draft; correction procedure].

## Liquidity

Current r..."
tonight_hard_line_109,Risk and Compliance Review,Risk disclosure review,0.9166666666666666,6,EG2,yes,yes,yes,yes,"Material facts, numeric inputs, thresholds, calculation results, missing-evidence triggers, and decision points must have active source labels next to the sentence, row, or bullet where they are used; collected end-only citations are not sufficient.",Not all material facts and decisions have active source labels next to them.,"**Control Ticket 109 — Forepart Risk-Summary Trigger Review for Lakeside Community Bankshares**

> “If the discussion is longer than 15 pages, include in the forepart of the prospectus or annual report … concise, bulleted or numbered statements that [are] no more than two pages summarizing the principal factors…” [performance presentation facts]

> “The presentation of risks that could apply generically to any registrant or any offering is discouraged, but to the extent generic risk factors are presented, disclose them at the end … under the caption ‘General Risk Factors.’” [performance presentation facts]

## Organization Finding

Lakeside Community Bankshares has an active Item 105 structure and forepart-summary deficiency because the draft Risk Factors section is 22 pages, while the forepart currently includes only a 650-word dense paragraph labeled “Principal Risks” and no bulleted or numbered principal-risk summary. [exception review guide] The severity is **High** because the packet’s review guide classifies Item 105 structure or summary-trigger problems as High, and legal has requested remediation by adding a concise bulleted or numbered principal-risk summary. [exception r..."
tonight_hard_line_338,Decision and Structuring,Loan approval package,0.9166666666666666,6,EG2,yes,yes,yes,yes,"Material facts, numeric inputs, thresholds, calculation results, missing-evidence triggers, and decision points must have active source labels next to the sentence, row, or bullet where they are used; collected end-only citations are not sufficient.",Some facts lack active source labels next to them.,"**Approval Authority Routing Summary — Cedar Rail Logistics Inc.**

Routing decision: Cedar Rail Logistics Inc.’s $6.2 million revolving credit facility package may not proceed to Credit Committee now because the requested 88.00% temporary advance rate is a policy exception requiring Senior Credit Officer concurrence first, and the omitted current UCC search must be routed to Legal Documentation.  

1. **Requested action and amount.** The borrower requests a **$6.2 million revolving credit facility** to finance seasonal receivables, with a temporary borrowing base advance rate of **88.00% for 90 days** against eligible receivables of **$7.0 million** [rollover recommendation file]. Because facilities **over $5.0 million require Credit Committee action**, this request is within Credit Committee authority after prerequisites are satisfied [plan cost comparison (Delegated Lending Authority Matrix)].

2. **Advance-rate policy exception calculation.** Source inputs: requested advance rate = **88.00%** [rollover recommendation file]; policy limit = **80.00%** [plan cost comparison (Delegated Lending Authority Matrix)]. Formula/comparison: **88.00% − 80.00% = 8.00 percentage points above..."
tonight_hard_line_034,Risk and Compliance Review,AML red-flag review,0.9090909090909091,6,EG2,yes,yes,yes,yes,"Material facts, numeric inputs, thresholds, calculation results, missing-evidence triggers, and decision points must have active source labels next to the sentence, row, or bullet where they are used; collected end-only citations are not sufficient.",Not all material facts and decision points have active source labels next to them.,"**Low-Priced Securities AML Escalation Report — Securities Activity Alert AML-RF-017**

> “Customer: Sagebrush Ventures. Deposited 2.4 million shares of microcap issuer ZQNT acquired through a private certificate.” [measurability standard (Securities Activity Alert AML-RF-017)]

> “Unresolved low-priced securities concerns require AML escalation.” [owner field note]

## 1. Alert identity and governing escalation posture

This report addresses Securities Activity Alert AML-RF-017 for customer Sagebrush Ventures involving a deposit, liquidation, and outbound proceeds movement in microcap issuer ZQNT. [measurability standard (Securities Activity Alert AML-RF-017)] The active-case trigger requires review of the deposit source, liquidation timing, proceeds movement, missing acquisition support, issuer relationship, and whether the proceeds movement is consistent with the customer profile. [owner field note] The governing AML standard is that broker-dealers must maintain reasonably designed AML procedures and internal controls to identify and report suspicious activity, including activity in low-priced securities. [corrective action draft] The packet also states that firms must not igno..."
tonight_hard_line_038,Intake and Profiling,Counterparty / issuer profile construction,0.9090909090909091,6,EG2,yes,yes,yes,yes,"Material facts, numeric inputs, thresholds, calculation results, missing-evidence triggers, and decision points must have active source labels next to the sentence, row, or bullet where they are used; collected end-only citations are not sufficient.",Some facts lack active source labels next to them.,"**Green Bond Issuer Use-of-Proceeds Profile — Prairie Loop Transit Authority**

1. **Issuer identity and proposed issuance.** Issuer is **Prairie Loop Transit Authority**; proposed bond amount is **$210 million** [board minutes excerpt; action item rule]. This profile is prepared under the **Synthetic Green Bond Issuer Intake Standard**, which requires coverage of issuer identity, proposed bond amount, eligible categories, allocations, unallocated proceeds, governance, reporting, external review, and missing evidence [board minutes excerpt].

2. **Eligible project categories and allocation reconciliation.** Issuer-listed eligible categories are: electric bus fleet **$120 million**, depot charging infrastructure **$46 million**, and maintenance facility energy retrofit **$18 million** [board minutes excerpt; action item rule]. Category allocations total **$184 million**. Unallocated contingency is **$26 million** [board minutes excerpt; action item rule]. Reconciliation: **$120 million + $46 million + $18 million + $26 million = $210 million**, matching the proposed bond amount; no dollar-allocation shortfall is indicated by the packet.

3. **Unallocated proceeds calculation and im..."
tonight_hard_line_049,Intake and Profiling,Client risk profiling,0.9090909090909091,6,EG2,yes,yes,yes,yes,"Material facts, numeric inputs, thresholds, calculation results, missing-evidence triggers, and decision points must have active source labels next to the sentence, row, or bullet where they are used; collected end-only citations are not sufficient.",Lacks active source labels next to all material facts.,"**Sofia Reed Risk-Profile Clarification Call Agenda**

> “Every member shall use reasonable diligence…to know and retain the essential facts concerning every customer.” [IPS restriction note]

> “Most blocking factors for scoring are liquidity need and time horizon…Clarification calls must not discuss model portfolios, securities, or trade ideas before the profile is complete.” [suitability review file]

**Audit-ready control posture and call boundary.**  
The active-case trigger is that Sofia Reed’s current profile score cannot be calculated because the liquidity field is blank and the time-horizon entry says only “retirement,” with no year or range. [fund mandate description] The governing review standard requires the call to address blocking profile factors before nonblocking preferences. [suitability review file] The call must stay limited to profile clarification and must not include model portfolios, securities, trade ideas, or sales/performance language before the profile is complete. [suitability review file] Required review prerequisite: the advisor or registered representative must obtain and retain essential customer facts before moving beyond the clarification stage, c..."
tonight_hard_line_112,Research and Due Diligence,Earnings review,0.9090909090909091,6,EG2,yes,yes,yes,yes,"Material facts, numeric inputs, thresholds, calculation results, missing-evidence triggers, and decision points must have active source labels next to the sentence, row, or bullet where they are used; collected end-only citations are not sufficient.",Not all material facts and calculations have active source labels next to them.,"**KPI surprise table — PrairieBank Digital, quarter ended March 31, 2026**

## Audit basis and evidence-bound controls

| Final action / decision point | Active evidence used | Governing task standard or trigger | Audit decision |
|---|---|---|---|
| Calculate PrairieBank actual-versus-consensus surprise and year-over-year change for revenue, active accounts, net revenue retention, gross margin, and diluted EPS. | PrairieBank actuals, consensus, and prior-year figures are provided in the `client profile sheet`. | `product term sheet` requires a KPI surprise table with actual-versus-consensus surprise and year-over-year change where available. | Calculated using only stated inputs from the `client profile sheet`. |
| Distinguish PrairieBank company KPIs from public-company benchmark/comparable rows. | PrairieBank figures are in the `client profile sheet`; Apple-requested comparable source is labeled `suitability rule card`. | `product term sheet` requires distinguishing company KPIs from public-company benchmark metrics. | PrairieBank rows and Apple comparable rows are separated. |
| Include Apple comparable rows only for revenue growth, gross-margin movement, and EPS growth. | The..."
tonight_hard_line_169,"Execution, Monitoring, Reporting, and Operations",Risk alert generation,0.9090909090909091,6,EG2,yes,yes,yes,yes,"Material facts, numeric inputs, thresholds, calculation results, missing-evidence triggers, and decision points must have active source labels next to the sentence, row, or bullet where they are used; collected end-only citations are not sufficient.",Some material facts lack active source labels next to them.,"**Regulatory Filing Deadline Risk Alert — Fund Complex A Form PF**

> Filing due date: 2026-06-15; current date: 2026-06-12; status: draft not started. [trade ticket draft]  
> Generate a deadline risk alert when a required filing draft is not ready within the preparation service-level window. [approval control]

A deadline risk alert is required for the Form PF quarterly update for Fund Complex A. The filing due date is 2026-06-15, and the current date in the calendar extract is 2026-06-12. [trade ticket draft] The current filing status is “draft not started.” [trade ticket draft] The applicable preparation service-level standard requires the draft to be ready at least 2 business days before the due date. [trade ticket draft] The governing control requires a deadline risk alert when a required filing draft is not ready within that preparation service-level window. [approval control]

**Deadline calculation and timing status:** Source inputs are current date 2026-06-12 and due date 2026-06-15. [trade ticket draft] Formula: 2026-06-15 minus 2026-06-12 equals 3 calendar days until due. The due date is Monday 2026-06-15, so the 2-business-day readiness point was Thursday 2026-06-11,..."
tonight_hard_line_213,"Execution, Monitoring, Reporting, and Operations",Remediation tracking,0.9090909090909091,6,EG2,yes,yes,yes,yes,"Material facts, numeric inputs, thresholds, calculation results, missing-evidence triggers, and decision points must have active source labels next to the sentence, row, or bullet where they are used; collected end-only citations are not sufficient.",Active source labels are not consistently next to material facts and decision points.,"**RC-52 Root-Cause Remediation Mapping**

1. **Active source and governing standard.** This mapping uses only the active evidence labeled **“adverse-media packet”** for **Issue RC-52: late regulatory report sign-off** and the governing **Root-Cause Coverage Standard**. The standard requires remediation actions to address **every documented root cause** and to show each root cause, mapped corrective action, owner, due date if available, and any uncovered root cause. It also states that a tracker entry with uncovered root causes **must not be described as fully remediated**.

2. **Coverage reconciliation.** Source inputs: **three documented root causes** in the adverse-media packet: “unclear ownership between Finance Reporting and Compliance”; “no automated reminder”; and “backup approver not defined.” Current tracker input: **one action only — “update calendar.”** Comparison rule: each root cause must have a mapped corrective action and owner under the **Root-Cause Coverage Standard**. Result: the current tracker does not evidence full coverage of all three root causes. Business implication: RC-52 cannot be represented as fully remediated.

| Documented root cause | Mapped correcti..."
tonight_hard_line_244,Intake and Profiling,Client risk profiling,0.9090909090909091,6,EG2,yes,yes,yes,yes,"Material facts, numeric inputs, thresholds, calculation results, missing-evidence triggers, and decision points must have active source labels next to the sentence, row, or bullet where they are used; collected end-only citations are not sufficient.",Some material facts lack active source labels next to them.,"**Liquidity/Concentration Override Rationale — Jae Kim**

Requested final classification: Growth. [customer profile] The base risk score is reconciled as objective 4 + horizon 3 + tolerance 4 + experience 3 + liquidity 1 + concentration 5 = 20. [customer profile] Under the policy score bands, a score of 20 maps to Growth because the Growth band is 18-23. [rapid movement rule]

> “Every member shall use reasonable diligence…to know…the essential facts concerning every customer.” [AML transfer alert -- Know Your Customer | FINRA.org]  
> “Liquidity need greater than 25.00% of account value within 12 months lowers the final classification by one band.” [rapid movement rule]  
> “Single-issuer exposure greater than 35.00% of account value requires a concentration flag.” [rapid movement rule]

Liquidity override reconciliation: the client has a USD 310,000 cash need expected in 10 months for business acquisition funding, against an account value of USD 920,000. [customer profile] Formula: USD 310,000 ÷ USD 920,000 = 33.70%. Because 33.70% is greater than the 25.00% threshold and the need occurs within 12 months, the liquidity override is triggered. [rapid movement rule] Business implic..."
tonight_hard_line_298,Intake and Profiling,KYC onboarding,0.9090909090909091,6,EG2,yes,yes,yes,yes,"Material facts, numeric inputs, thresholds, calculation results, missing-evidence triggers, and decision points must have active source labels next to the sentence, row, or bullet where they are used; collected end-only citations are not sufficient.",Some facts lack active source labels next to them.,"**Submit to operations — Ember Street Retail LLC pre-submission KYC QA note**

1. **Open-item tracker / blocker check:** Verified open tracker status is “none” per the active packet. Evidence: “Open item in tracker: none” [line increase policy (Synthetic Final QA Packet - Ember Street Retail LLC)]. Governing task standard requires QA to confirm no open tracker items before operations handoff [borrowing history note]. Result: no tracker blocker, remediation return not triggered.

2. **CIP / legal-entity identity check:** Legal existence articles received, EIN/W-9 complete, and physical address/store lease received [line increase policy (Synthetic Final QA Packet - Ember Street Retail LLC)]. This supports customer identification and verification under the CDD framework requiring covered institutions to identify and verify customers [seasonal borrowing request]. Result: CIP condition verified.

3. **Beneficial ownership reconciliation:** Source inputs: Nora Fields owns 51.00%; Eli Grant owns 49.00%; owner IDs complete [line increase policy (Synthetic Final QA Packet - Ember Street Retail LLC)]. Rule threshold: identify and verify any individual owning 25.00% or more, plus an individu..."
