constraint_id,module,hardness,check_mode,score_type,constraint_text,description,source
GH-1,GH,hard,rule,binary,回答不超过{N}个字,限制回答总长度上限，强调简洁和压缩表达,IFEval length_constraints:number_words
GH-2,GH,hard,rule,binary,至少包含{N}个句子,限制回答至少展开到若干完整句，避免过短回答,IFEval length_constraints:number_sentences
GH-3,GH,hard,rule,binary,回答分为{N}个段落,限制回答的段落组织结构，要求分段展开,IFEval length_constraints:number_paragraphs
GH-4,GH,hard,rule,binary,使用 Markdown 格式,要求输出整体采用 Markdown 标记组织内容,IFEval detectable_format:title
GH-5,GH,hard,rule,binary,包含至少{N}级标题层级,要求输出包含多级标题结构而非单层标题,FIFE L1-7 Heading/Section
GH-6,GH,hard,rule,binary,使用编号列表组织回答,要求输出采用 1. 2. 3. 的有序列表形式,IFEval detectable_format:number_bullet_lists
GH-7,GH,hard,rule,binary,使用表格形式呈现关键信息,要求用表格承载核心字段或比较信息,FIFE L1-1 表格约束
GH-8,GH,hard,rule,binary,以 JSON 格式输出,要求回答可被直接解析为合法 JSON 对象,IFEval detectable_format:json_format
GH-9,GH,hard,rule,binary,必须包含关键词：{kw1}、{kw2},要求回答显式包含两个指定关键词,IFEval keywords:existence
GH-10,GH,hard,rule,binary,不得出现“{forbidden_word}”,要求回答显式规避指定词或短语,IFEval keywords:forbidden_words
GH-11,GH,hard,rule,binary,开头第一个词必须是“{word}”,要求回答首词精确匹配指定词语,IFEval startend:end_checker
GH-12,GH,hard,rule,binary,使用 Checkbox 格式 [ ]/[x],要求输出中出现 checkbox 任务清单格式,FIFE L1-6 Checkbox
GH-13,GH,hard,rule,binary,输出必须包含代码块/公式块,要求回答至少包含一个代码块或公式块,FIFE L1-11 代码块
GH-14,GH,hard,rule,binary,第一行必须为“{first_line}”，最后一行为“{last_line}”,要求首行和末行都与指定文本精确匹配,FIFE L1-2 精确文本匹配
GS-1,GS,soft,LLM-as-a-judge,binary,先给出结论，再给出分析过程,要求内容顺序满足先结论后分析的结构安排,FollowBench Content Constraint
GS-2,GS,soft,LLM-as-a-judge,binary,回答末尾必须包含一段总结,要求回答在尾部补充总结性收束段落,FollowBench Content Constraint
GS-3,GS,soft,LLM-as-a-judge,binary,使用正式书面语，不得口语化,要求整体文风保持正式书面表达,FollowBench Style Constraint
GS-4,GS,soft,LLM-as-a-judge,binary,使用客观中立的语气，不带主观倾向,要求避免情绪化和立场化表达,FollowBench Style Constraint
GS-5,GS,soft,LLM-as-a-judge,binary,段落间必须逻辑连贯，有明确过渡,要求段落衔接自然并具有清晰过渡,FollowBench Content Constraint
GS-7,GS,soft,LLM-as-a-judge,binary,使用类比或举例来辅助解释,要求至少引入类比或例子帮助说明,FollowBench Content Constraint
FH-1,FH,hard,rule,binary,末尾必须包含风险提示声明：{risk_line},要求回答末尾出现完整风险提示语句,FIFE L1-2.2 免责声明 + 中国金融合规
FH-2,FH,hard,rule,binary,必须声明“{disclaimer}”,要求回答中出现明确免责声明短句,FIFE L1-2.4 精确引用 + 中国监管要求
FH-3,FH,hard,rule,binary,若提到“{trigger}”，必须同时补充“{followup}”,要求满足条件触发后的补充披露逻辑,FIFE L1-12 条件逻辑
FH-4,FH,hard,rule,binary,回答中的数值数据统一保留{N}位小数,要求回答中出现的数值统一保留指定位数小数,新增约束
FH-5,FH,hard,rule,binary,若出现金额，统一使用 {currency_rule} 表示,要求所有货币金额遵循统一格式规范,FIFE L1-9 货币格式
FH-6,FH,hard,rule,binary,必须标注风险等级（R1-R5）,要求回答显式给出规范化风险等级标签,中国银行理财产品说明书规范
FH-7,FH,hard,rule,binary,必须包含投资评级词,要求回答中出现买入/增持/中性/减持/卖出等评级词,券商研报行业惯例
FS-1,FS,soft,LLM-as-a-judge,binary,从 ESG 角度评价,要求从环境、社会和治理维度展开评价,FollowBench Content Constraint + FollowSoftConstraint Situation: Specify Role
FS-2,FS,soft,LLM-as-a-judge,binary,注明所引用信息的来源,要求显式交代信息或结论所依据的来源,SciIF Generate-then-Audit
FS-3,FS,soft,LLM-as-a-judge,binary,专业术语缩写需给全称,要求首次出现术语缩写时补充完整全称,SciIF Terminology
FS-4,FS,soft,LLM-as-a-judge,binary,必须引用具体财务指标数据,要求给出明确财务指标及其数值,SciIF Numerical Methods
FS-5,FS,soft,LLM-as-a-judge,binary,必须包含定量分析,要求回答包含趋势、比较、比例或数值推演等定量内容,SciIF Numerical Methods
FS-6,FS,soft,LLM-as-a-judge,binary,从风险管理的角度分析,要求从风险识别和控制视角组织分析,FollowBench Content Constraint + FollowSoftConstraint Situation: Specify Role
FS-7,FS,soft,LLM-as-a-judge,binary,站在监管机构的立场回答,要求采用监管者立场关注合规与稳定性,FollowBench Content Constraint + FollowSoftConstraint Situation: Specify Role
FS-8,FS,soft,LLM-as-a-judge,binary,从零售投资者的视角分析,要求回答面向普通投资者的决策关切,FollowBench Content Constraint + FollowSoftConstraint Situation: Specify Role
FS-9,FS,soft,LLM-as-a-judge,binary,从宏观经济的角度分析,要求从宏观变量和经济周期视角分析问题,FollowBench Content Constraint + FollowSoftConstraint Situation: Specify Role
